drug_id,indication,target,has_positive_efficacy_phrase,has_severe_toxicity_phrase,text_embed_score,molecular_weight,logP,potential_label,toxicity_label,market_size_million,competition_level,expected_profit_score,success_probability,traditional_time_years,ai_time_years
D05553,colon_cancer,PD1,0,1,0.453,534.3,1.5,0,1,21598,5,0.208,0.13,9,2
D05554,prostate_cancer,PD1,0,1,0.788,521.8,2.57,0,1,9609,4,0.158,0.104,12,2
D05555,lung_cancer,BRAF,0,1,0.474,464.6,1.93,0,1,37148,10,0.236,0.24,9,1
D05556,prostate_cancer,HER2,0,0,0.543,411.9,3.77,0,0,7657,3,0.408,0.293,9,3
D05557,ovarian_cancer,PD1,1,1,0.42,482.6,2.69,1,1,3174,4,0.301,0.243,13,3
D05558,ovarian_cancer,EGFR,0,0,0.794,470.7,3.39,1,0,5484,5,0.552,0.395,8,3
D05559,lung_cancer,VEGF,1,1,0.612,515.2,2.94,2,0,37615,10,0.838,0.647,12,2
D05560,ovarian_cancer,PD1,0,0,0.699,567.4,3.78,0,1,6964,5,0.135,0.146,10,1
D05561,prostate_cancer,ALK,1,1,0.438,513.1,3.04,1,1,11584,2,0.363,0.277,10,1
D05562,ovarian_cancer,mTOR,0,0,0.684,532.6,3.25,1,0,7043,2,0.59,0.416,12,1
D05563,lung_cancer,PD1,0,1,0.734,564.9,3.72,0,1,47725,8,0.309,0.242,13,3
D05564,colon_cancer,HER2,1,0,0.793,398.5,2.13,2,0,18362,4,0.802,0.639,8,3
D05565,prostate_cancer,ALK,1,1,0.673,423.9,3.78,1,1,9112,2,0.351,0.224,11,3
D05566,lung_cancer,ALK,0,1,0.829,353.9,3.32,0,0,34329,8,0.492,0.4,11,2
D05567,colon_cancer,BRAF,1,0,0.484,509.0,3.93,1,0,19101,3,0.641,0.456,11,1
D05568,melanoma,VEGF,0,0,0.54,494.4,1.93,1,0,8753,5,0.569,0.492,10,2
D05569,prostate_cancer,HER2,1,0,0.631,403.3,2.05,2,0,9347,1,0.787,0.527,10,2
D05570,ovarian_cancer,PD1,0,1,0.478,437.0,2.85,0,0,7628,4,0.398,0.35,10,1
D05571,breast_cancer,BRAF,0,1,0.497,386.8,4.18,0,1,23368,5,0.217,0.201,12,3
D05572,ovarian_cancer,VEGF,0,0,0.422,374.0,4.08,0,0,4839,2,0.404,0.35,8,2
D05573,prostate_cancer,PD1,0,0,0.724,574.8,3.72,0,1,14130,2,0.201,0.147,9,1
D05574,melanoma,VEGF,1,0,0.786,424.5,3.27,2,0,8024,1,0.78,0.582,13,3
D05575,breast_cancer,ALK,1,1,0.671,377.8,3.73,1,1,23914,6,0.385,0.325,8,3
D05576,breast_cancer,mTOR,1,0,0.885,474.1,2.67,2,0,34455,8,0.842,0.664,10,3
D05577,melanoma,HER2,0,0,0.665,382.1,1.02,0,0,8344,5,0.392,0.355,10,2
D05578,breast_cancer,EGFR,0,0,0.748,396.9,3.89,0,0,22591,6,0.453,0.392,10,2
D05579,melanoma,mTOR,1,1,0.777,447.8,2.86,1,0,6068,5,0.555,0.405,12,3
D05580,ovarian_cancer,EGFR,0,1,0.484,532.4,4.44,0,1,5658,2,0.158,0.089,12,2
D05581,colon_cancer,HER2,1,1,0.882,586.0,2.22,1,1,20293,5,0.376,0.28,10,3
D05582,ovarian_cancer,BRAF,0,1,0.687,324.6,4.89,0,1,7494,4,0.147,0.12,12,3
D05583,ovarian_cancer,ALK,1,1,0.784,661.5,3.15,1,1,4196,4,0.306,0.243,8,3
D05584,prostate_cancer,PD1,1,0,0.573,378.4,3.77,1,0,14624,5,0.598,0.473,9,1
D05585,melanoma,mTOR,1,0,0.426,471.4,2.91,2,0,5740,3,0.749,0.537,9,3
D05586,breast_cancer,VEGF,0,1,0.799,551.6,3.27,0,1,24623,7,0.203,0.161,9,2
D05587,breast_cancer,ALK,1,0,0.753,385.1,2.74,2,0,34708,9,0.834,0.65,14,1
D05588,breast_cancer,PD1,0,0,0.47,532.9,3.41,1,0,36687,7,0.688,0.544,14,3
D05589,lung_cancer,PD1,0,1,0.486,501.0,3.75,0,1,29216,8,0.216,0.206,8,3
D05590,colon_cancer,PD1,1,1,0.724,451.1,3.14,2,0,17387,8,0.757,0.573,11,3
D05591,lung_cancer,EGFR,0,1,0.816,300.0,2.64,0,0,28351,4,0.502,0.41,11,3
D05592,ovarian_cancer,BRAF,1,0,0.407,541.1,2.69,2,0,3780,3,0.739,0.573,14,2
D05593,lung_cancer,mTOR,0,1,0.486,442.7,2.17,0,0,30833,10,0.454,0.406,8,2
D05594,colon_cancer,EGFR,0,0,0.438,560.3,3.44,0,0,26595,8,0.453,0.405,9,3
D05595,colon_cancer,VEGF,1,0,0.537,546.0,1.62,2,0,17562,7,0.768,0.545,9,1
D05596,breast_cancer,ALK,1,1,0.614,467.2,2.78,1,0,33086,9,0.65,0.554,14,3
D05597,prostate_cancer,VEGF,1,0,0.503,457.6,2.51,2,0,10624,5,0.753,0.601,11,3
D05598,colon_cancer,VEGF,0,0,0.744,452.3,3.68,1,0,15544,3,0.623,0.489,11,1
D05599,ovarian_cancer,mTOR,0,0,0.638,327.0,4.42,0,0,4060,3,0.39,0.34,11,3
D05600,breast_cancer,EGFR,1,1,0.54,518.7,2.97,1,0,36949,10,0.66,0.485,9,2
D05601,prostate_cancer,VEGF,1,1,0.826,552.5,1.84,1,1,13336,4,0.352,0.23,9,1
D05602,melanoma,VEGF,1,0,0.702,426.8,2.9,2,0,6132,3,0.751,0.61,11,1
D05603,ovarian_cancer,mTOR,1,1,0.41,589.2,2.96,1,1,4224,4,0.306,0.211,10,1
D05604,colon_cancer,HER2,1,1,0.733,516.0,2.53,1,0,29024,6,0.66,0.521,8,1
D05605,colon_cancer,VEGF,0,0,0.782,518.9,4.34,1,0,20243,6,0.616,0.443,12,2
D05606,colon_cancer,mTOR,1,0,0.55,559.6,2.93,1,0,19363,3,0.642,0.452,13,3
D05607,melanoma,PD1,1,0,0.611,534.0,3.46,2,0,8308,3,0.762,0.545,13,1
D05608,melanoma,VEGF,1,1,0.85,520.5,3.89,2,1,5083,3,0.495,0.39,9,1
D05609,breast_cancer,ALK,1,0,0.631,568.4,2.9,2,0,39767,6,0.889,0.649,13,2
D05610,breast_cancer,PD1,0,1,0.484,531.4,2.69,0,1,22363,4,0.222,0.191,13,2
D05611,prostate_cancer,mTOR,0,0,0.777,406.2,2.78,1,0,7730,2,0.594,0.422,13,3
D05612,ovarian_cancer,BRAF,1,1,0.705,473.9,1.67,2,0,7137,1,0.776,0.576,13,1
D05613,melanoma,HER2,0,0,0.823,548.8,0.79,1,0,5087,3,0.57,0.479,12,2
D05614,melanoma,BRAF,0,0,0.562,697.2,4.2,0,0,7180,5,0.386,0.275,11,1
D05615,colon_cancer,mTOR,0,1,0.574,459.1,3.01,0,0,29014,8,0.465,0.401,12,3
D05616,melanoma,PD1,0,0,0.413,504.2,2.53,1,0,6054,5,0.555,0.393,11,3
D05617,melanoma,BRAF,1,1,0.783,495.4,2.88,1,0,9761,4,0.584,0.499,8,3
D05618,breast_cancer,HER2,0,0,0.59,472.5,3.15,1,0,32162,6,0.676,0.523,8,1
D05619,melanoma,ALK,1,1,0.745,374.9,3.03,1,0,6850,3,0.579,0.457,8,1
D05620,ovarian_cancer,EGFR,1,1,0.672,493.1,3.1,2,0,8799,5,0.744,0.557,12,2
D05621,breast_cancer,PD1,0,1,0.825,462.7,3.91,0,1,22872,8,0.184,0.187,8,3
D05622,melanoma,HER2,1,1,0.406,451.7,3.18,1,0,7586,5,0.563,0.41,10,1
D05623,ovarian_cancer,HER2,0,1,0.897,583.8,2.94,0,1,4271,3,0.141,0.143,8,1
D05624,lung_cancer,EGFR,1,1,0.601,497.2,2.92,2,0,42660,9,0.873,0.673,13,1
D05625,ovarian_cancer,BRAF,0,1,0.707,579.0,2.79,0,1,6559,5,0.133,0.133,8,3
D05626,melanoma,ALK,0,1,0.896,582.7,2.92,0,1,6540,4,0.143,0.147,13,1
D05627,colon_cancer,VEGF,0,0,0.874,411.2,3.54,1,0,27670,5,0.663,0.473,9,2
D05628,melanoma,HER2,1,0,0.426,455.6,3.5,2,0,8814,5,0.744,0.597,10,2
D05629,melanoma,mTOR,0,0,0.784,300.0,3.0,1,0,5631,4,0.563,0.481,12,2
D05630,colon_cancer,HER2,0,1,0.619,443.2,2.15,0,0,15449,8,0.397,0.386,11,3
D05631,breast_cancer,HER2,1,0,0.833,435.7,2.54,2,0,27455,3,0.857,0.614,12,3
D05632,lung_cancer,VEGF,1,1,0.765,476.2,1.91,2,1,41260,6,0.646,0.404,14,3
D05633,ovarian_cancer,mTOR,1,1,0.82,505.3,4.09,2,1,3865,4,0.479,0.339,10,3
D05634,melanoma,PD1,1,0,0.802,502.5,3.65,2,0,7484,2,0.767,0.588,8,3
D05635,melanoma,ALK,1,0,0.813,567.6,3.99,1,1,7897,3,0.334,0.289,14,3
D05636,melanoma,VEGF,0,1,0.717,629.6,2.6,0,1,9879,4,0.159,0.139,12,1
D05637,colon_cancer,mTOR,0,0,0.724,422.5,3.63,1,0,18713,4,0.629,0.5,14,2
D05638,breast_cancer,ALK,0,1,0.756,536.7,3.62,0,1,39732,8,0.269,0.17,14,3
D05639,melanoma,mTOR,1,1,0.583,631.1,3.01,1,1,9092,1,0.36,0.251,14,1
D05640,prostate_cancer,mTOR,1,0,0.533,514.1,2.22,2,0,13228,3,0.786,0.544,14,2
D05641,colon_cancer,mTOR,0,1,0.811,650.8,2.73,0,1,16931,3,0.205,0.151,11,1
D05642,melanoma,ALK,1,1,0.862,455.3,2.72,2,1,9131,2,0.526,0.344,14,1
D05643,melanoma,VEGF,1,0,0.433,428.4,2.42,2,0,7495,2,0.767,0.561,12,1
D05644,breast_cancer,EGFR,0,1,0.636,438.1,1.91,0,0,33831,8,0.489,0.347,10,2
D05645,ovarian_cancer,EGFR,1,1,0.803,417.2,4.56,1,1,7448,2,0.342,0.289,14,3
D05646,prostate_cancer,BRAF,1,1,0.546,538.9,3.74,1,1,12334,1,0.377,0.255,8,2
D05647,lung_cancer,EGFR,1,1,0.574,574.2,4.47,0,1,31560,5,0.258,0.132,10,2
D05648,melanoma,HER2,1,1,0.709,338.3,2.02,1,1,5428,1,0.342,0.265,14,2
D05649,prostate_cancer,HER2,1,1,0.553,415.7,2.62,1,0,6920,1,0.6,0.443,8,1
D05650,colon_cancer,VEGF,0,1,0.9,456.0,2.64,1,0,17834,3,0.634,0.512,8,2
D05651,prostate_cancer,mTOR,1,1,0.721,497.5,3.03,1,1,7980,4,0.325,0.256,9,1
D05652,lung_cancer,mTOR,1,0,0.473,422.2,1.26,1,0,36238,9,0.666,0.488,11,2
D05653,ovarian_cancer,ALK,0,0,0.603,400.6,2.56,1,0,8601,1,0.608,0.48,11,2
D05654,prostate_cancer,VEGF,0,0,0.88,460.2,2.1,2,0,12162,1,0.801,0.599,9,1
D05655,breast_cancer,BRAF,0,1,0.412,440.7,2.1,0,0,27740,7,0.469,0.377,11,3
D05656,breast_cancer,PD1,0,1,0.598,469.9,2.14,0,1,38301,6,0.282,0.172,11,2
D05657,lung_cancer,HER2,1,1,0.863,412.1,1.95,2,0,28699,8,0.813,0.669,14,2
D05658,melanoma,mTOR,1,0,0.816,467.7,2.31,2,0,6822,2,0.764,0.616,9,3
D05659,breast_cancer,ALK,1,0,0.457,552.5,3.32,2,0,35836,8,0.849,0.598,14,1
D05660,breast_cancer,BRAF,0,1,0.57,474.4,2.36,0,1,38226,8,0.261,0.161,13,2
D05661,prostate_cancer,EGFR,1,0,0.765,510.4,3.55,2,0,14768,2,0.804,0.63,8,3
D05662,lung_cancer,PD1,1,0,0.597,491.4,4.28,2,0,44692,5,0.923,0.672,9,1
D05663,colon_cancer,VEGF,0,0,0.879,516.8,3.73,1,0,20731,4,0.639,0.475,8,1
D05664,ovarian_cancer,mTOR,1,1,0.834,490.7,3.54,1,1,5249,1,0.341,0.204,11,2
D05665,prostate_cancer,EGFR,0,1,0.462,416.3,2.63,0,1,11798,5,0.159,0.179,13,3
D05666,breast_cancer,VEGF,0,1,0.693,507.9,3.27,1,0,28639,3,0.688,0.518,11,2
D05667,lung_cancer,BRAF,1,0,0.747,520.6,3.88,2,0,41078,8,0.875,0.673,10,3
D05668,melanoma,EGFR,0,0,0.574,366.0,2.22,1,0,5973,3,0.575,0.412,14,1
D05669,lung_cancer,HER2,1,0,0.54,498.4,2.42,2,0,36274,5,0.881,0.642,8,3
D05670,prostate_cancer,EGFR,1,0,0.804,750.2,3.41,2,0,14622,4,0.783,0.628,9,2
D05671,breast_cancer,ALK,1,1,0.831,473.7,2.59,2,0,21949,8,0.78,0.654,11,1
D05672,prostate_cancer,VEGF,1,1,0.684,441.6,3.02,1,0,13834,1,0.634,0.459,9,2
D05673,prostate_cancer,HER2,0,0,0.75,489.0,2.63,1,0,14815,1,0.639,0.502,14,1
D05674,prostate_cancer,mTOR,0,0,0.725,458.1,4.08,1,0,13063,1,0.63,0.446,8,2
D05675,prostate_cancer,mTOR,0,1,0.427,590.8,3.2,0,1,6620,2,0.163,0.108,8,1
D05676,ovarian_cancer,VEGF,0,0,0.817,372.7,3.43,0,0,7740,1,0.429,0.3,9,3
D05677,lung_cancer,BRAF,0,1,0.822,604.3,4.1,0,1,33123,5,0.266,0.201,13,3
D05678,ovarian_cancer,VEGF,0,0,0.641,538.8,4.14,0,0,6790,2,0.414,0.324,12,2
D05679,breast_cancer,ALK,1,1,0.436,484.3,3.5,1,1,21338,5,0.382,0.242,9,3
D05680,melanoma,HER2,1,0,0.771,425.5,3.23,2,0,8966,4,0.755,0.584,10,1
D05681,prostate_cancer,mTOR,1,0,0.703,586.4,2.53,2,0,8444,3,0.762,0.546,14,3
D05682,ovarian_cancer,EGFR,0,1,0.826,411.1,3.08,1,0,8857,4,0.579,0.46,10,2
D05683,ovarian_cancer,HER2,1,0,0.798,461.9,3.52,2,0,4396,2,0.752,0.532,10,1
D05684,breast_cancer,PD1,1,1,0.857,443.7,4.37,1,1,24988,8,0.37,0.319,11,1
D05685,lung_cancer,ALK,1,1,0.668,376.8,4.0,1,1,45676,10,0.453,0.349,10,3
D05686,melanoma,HER2,0,1,0.74,418.8,1.56,1,0,9091,4,0.58,0.495,10,1
D05687,ovarian_cancer,BRAF,0,1,0.797,499.0,2.8,1,0,4059,3,0.565,0.432,8,3
D05688,lung_cancer,EGFR,0,1,0.476,391.2,1.65,0,1,40739,7,0.284,0.23,10,2
D05689,ovarian_cancer,BRAF,0,0,0.61,479.3,3.78,1,0,8700,3,0.589,0.465,8,2
D05690,colon_cancer,ALK,0,0,0.647,526.8,3.05,1,0,20590,3,0.648,0.486,11,2
D05691,ovarian_cancer,BRAF,0,0,0.775,518.3,2.98,1,0,3534,5,0.543,0.385,11,3
D05692,colon_cancer,BRAF,1,0,0.885,365.6,1.86,2,0,28816,6,0.834,0.584,9,1
D05693,melanoma,HER2,1,1,0.856,463.7,2.87,2,0,9333,4,0.757,0.559,10,3
D05694,prostate_cancer,ALK,0,0,0.763,548.1,3.61,1,0,11919,1,0.625,0.428,9,1
D05695,prostate_cancer,mTOR,1,1,0.498,528.4,2.78,1,0,9594,3,0.593,0.435,11,3
D05696,melanoma,ALK,0,1,0.806,369.5,3.33,0,1,5438,3,0.147,0.087,12,2
D05697,lung_cancer,ALK,1,0,0.633,522.0,1.09,2,0,45465,8,0.897,0.645,10,2
D05698,colon_cancer,HER2,0,0,0.66,413.3,2.45,1,0,19363,6,0.612,0.467,12,2
D05699,colon_cancer,HER2,1,1,0.865,489.5,2.36,2,0,23482,7,0.797,0.618,10,1
D05700,colon_cancer,VEGF,0,0,0.598,476.9,2.83,1,0,24065,3,0.665,0.443,13,3
D05701,ovarian_cancer,mTOR,0,0,0.725,467.3,2.43,1,0,8970,1,0.61,0.489,8,3
D05702,lung_cancer,BRAF,1,1,0.714,428.9,2.14,1,1,30386,10,0.377,0.271,11,3
D05703,lung_cancer,mTOR,0,0,0.673,510.4,3.46,1,0,32992,10,0.64,0.55,14,2
D05704,prostate_cancer,PD1,0,1,0.696,418.4,4.22,0,1,11918,1,0.2,0.131,10,1
D05705,colon_cancer,HER2,1,1,0.521,454.8,4.22,1,1,23398,7,0.372,0.264,11,2
D05706,lung_cancer,mTOR,0,0,0.483,428.6,1.38,0,0,32325,6,0.502,0.373,14,3
D05707,lung_cancer,BRAF,0,0,0.568,512.2,3.2,1,0,28039,6,0.655,0.508,13,1
D05708,lung_cancer,EGFR,0,0,0.524,482.8,2.49,1,0,25664,4,0.663,0.484,12,1
D05709,colon_cancer,HER2,0,1,0.63,477.2,2.59,1,1,25940,3,0.425,0.311,11,1
D05710,breast_cancer,VEGF,0,1,0.629,455.8,3.67,0,1,34756,8,0.244,0.232,12,2
D05711,prostate_cancer,PD1,0,1,0.796,494.7,3.49,0,1,10486,3,0.172,0.127,12,2
D05712,colon_cancer,mTOR,0,1,0.504,461.5,2.73,0,0,18649,8,0.413,0.297,11,1
D05713,melanoma,HER2,1,0,0.518,387.7,2.7,2,0,7027,1,0.775,0.616,9,3
D05714,ovarian_cancer,BRAF,0,1,0.406,300.0,2.53,0,0,7814,3,0.409,0.283,11,3
D05715,prostate_cancer,ALK,0,1,0.767,473.5,3.45,0,0,11700,4,0.418,0.362,13,1
D05716,melanoma,EGFR,1,0,0.716,458.5,3.28,2,0,8889,2,0.774,0.599,11,3
D05717,colon_cancer,EGFR,1,0,0.587,305.6,2.95,1,0,27158,5,0.661,0.486,9,1
D05718,breast_cancer,HER2,1,1,0.781,345.6,2.03,1,0,35956,7,0.685,0.543,14,3
D05719,lung_cancer,ALK,0,0,0.59,465.0,4.02,1,0,28216,5,0.666,0.456,8,3
D05720,colon_cancer,ALK,1,0,0.429,509.7,3.01,2,0,28155,6,0.831,0.604,8,3
D05721,colon_cancer,mTOR,1,1,0.735,478.4,2.43,2,0,21190,8,0.776,0.623,12,2
D05722,melanoma,PD1,1,1,0.857,436.5,3.34,2,0,7389,1,0.777,0.523,8,3
D05723,colon_cancer,VEGF,0,0,0.841,369.2,3.47,0,0,15419,6,0.417,0.332,12,3
D05724,colon_cancer,VEGF,0,0,0.474,448.9,3.66,0,0,18038,3,0.46,0.354,9,2
D05725,breast_cancer,VEGF,0,0,0.549,556.9,1.66,1,0,39625,9,0.683,0.539,11,2
D05726,prostate_cancer,ALK,1,0,0.544,433.5,2.32,2,0,13305,2,0.797,0.554,13,3
D05727,melanoma,VEGF,1,1,0.45,335.0,2.17,1,1,9105,4,0.331,0.244,12,2
D05728,ovarian_cancer,BRAF,1,0,0.772,675.3,3.49,2,0,4335,3,0.742,0.564,14,1
D05729,colon_cancer,PD1,1,0,0.557,633.4,3.66,1,0,21897,3,0.654,0.459,12,2
D05730,breast_cancer,PD1,0,0,0.892,420.7,2.69,1,0,33250,10,0.641,0.461,14,2
D05731,prostate_cancer,EGFR,1,1,0.769,527.1,3.35,2,1,6816,5,0.484,0.404,11,3
D05732,breast_cancer,VEGF,1,1,0.75,433.8,1.79,2,0,30695,7,0.833,0.672,12,3
D05733,lung_cancer,BRAF,1,0,0.686,743.0,2.89,2,0,36377,5,0.882,0.654,13,3
D05734,prostate_cancer,VEGF,1,1,0.519,453.9,3.09,1,1,10165,4,0.336,0.242,12,1
D05735,ovarian_cancer,ALK,1,1,0.674,460.6,3.1,2,0,3800,5,0.719,0.533,10,1
D05736,breast_cancer,mTOR,1,1,0.531,583.0,2.9,1,1,29041,4,0.43,0.336,12,2
D05737,lung_cancer,VEGF,0,1,0.688,387.0,2.87,0,0,26163,4,0.491,0.403,8,1
D05738,colon_cancer,PD1,1,0,0.714,442.8,4.14,2,0,19713,6,0.789,0.552,10,1
D05739,colon_cancer,HER2,0,0,0.71,573.7,3.09,1,0,18233,5,0.616,0.481,11,2
D05740,lung_cancer,PD1,1,1,0.625,377.7,2.02,1,1,26308,5,0.407,0.277,13,2
D05741,breast_cancer,mTOR,0,0,0.496,481.2,3.27,1,0,26934,3,0.68,0.512,13,1
D05742,prostate_cancer,EGFR,0,0,0.741,450.0,2.62,1,0,14013,4,0.605,0.429,13,3
D05743,lung_cancer,EGFR,1,1,0.791,432.6,2.98,2,1,41925,5,0.66,0.491,13,2
D05744,ovarian_cancer,BRAF,1,0,0.747,300.0,2.12,2,0,6521,5,0.733,0.582,10,1
D05745,breast_cancer,EGFR,1,1,0.416,429.8,3.97,1,1,37446,5,0.462,0.335,11,1
D05746,colon_cancer,ALK,0,0,0.822,414.9,3.14,1,0,18264,7,0.596,0.444,11,3
D05747,ovarian_cancer,ALK,1,1,0.728,498.1,4.04,1,1,7854,3,0.334,0.276,14,2
D05748,breast_cancer,PD1,0,0,0.81,581.0,2.95,1,0,32082,9,0.645,0.483,11,1
D05749,lung_cancer,EGFR,0,0,0.82,442.0,2.47,1,0,48609,9,0.728,0.51,13,3
D05750,melanoma,EGFR,0,1,0.515,460.7,2.65,0,1,7977,3,0.16,0.075,8,3
D05751,ovarian_cancer,EGFR,1,1,0.868,524.3,3.34,2,0,6434,2,0.762,0.546,9,2
D05752,melanoma,mTOR,0,1,0.715,527.3,4.01,0,1,9106,1,0.186,0.078,9,3
D05753,melanoma,PD1,0,0,0.864,629.0,3.1,1,0,9309,5,0.572,0.434,11,2
D05754,breast_cancer,PD1,0,1,0.569,568.0,2.72,0,1,39142,5,0.296,0.149,14,1
D05755,melanoma,VEGF,1,1,0.572,574.8,3.85,0,1,6621,3,0.153,0.086,10,3
D05756,ovarian_cancer,ALK,0,0,0.413,560.7,3.08,0,0,3200,2,0.396,0.283,8,1
D05757,breast_cancer,mTOR,1,1,0.796,426.5,1.88,2,0,24353,5,0.822,0.628,10,2
D05758,ovarian_cancer,mTOR,1,1,0.456,476.8,4.23,1,1,7106,3,0.331,0.21,11,3
D05759,breast_cancer,BRAF,1,1,0.785,455.2,3.63,2,1,28395,3,0.612,0.437,10,2
D05760,ovarian_cancer,HER2,0,0,0.616,547.5,2.77,1,0,6420,5,0.557,0.488,14,3
D05761,prostate_cancer,BRAF,0,0,0.592,585.3,0.67,0,0,8079,4,0.4,0.358,10,1
D05762,colon_cancer,PD1,1,0,0.695,382.2,2.27,2,0,18206,3,0.811,0.606,12,2
D05763,lung_cancer,VEGF,0,1,0.821,414.4,3.27,1,1,49558,6,0.513,0.349,10,3
D05764,melanoma,HER2,0,1,0.553,503.2,3.32,0,1,6716,3,0.154,0.105,11,2
D05765,ovarian_cancer,mTOR,1,0,0.525,527.7,2.24,2,0,6050,2,0.76,0.599,13,1
D05766,prostate_cancer,ALK,0,1,0.842,382.5,3.32,0,1,14725,1,0.214,0.103,11,3
D05767,ovarian_cancer,ALK,1,1,0.417,429.6,1.74,1,1,4902,2,0.33,0.211,10,1
D05768,lung_cancer,VEGF,1,0,0.486,557.7,4.12,1,1,34377,7,0.427,0.306,9,1
D05769,melanoma,mTOR,0,0,0.809,604.6,3.15,1,0,6757,2,0.589,0.42,8,2
D05770,breast_cancer,EGFR,0,1,0.439,530.1,4.1,0,1,31734,8,0.229,0.224,13,2
D05771,prostate_cancer,PD1,1,0,0.899,428.7,3.89,2,0,9174,1,0.786,0.53,10,3
D05772,colon_cancer,BRAF,1,1,0.584,502.0,3.73,1,1,21087,8,0.35,0.284,11,2
D05773,colon_cancer,PD1,0,1,0.473,494.9,4.04,0,1,16254,4,0.191,0.134,8,2
D05774,lung_cancer,PD1,1,0,0.84,497.9,1.81,2,0,44900,10,0.875,0.692,10,1
D05775,lung_cancer,ALK,1,1,0.441,596.2,2.24,1,1,28227,7,0.396,0.312,14,2
D05776,colon_cancer,BRAF,0,0,0.66,580.2,2.93,1,0,28239,3,0.686,0.512,12,2
D05777,breast_cancer,EGFR,1,1,0.747,574.1,3.91,1,1,35172,9,0.411,0.317,12,2
D05778,colon_cancer,HER2,0,0,0.45,514.4,3.41,1,0,28867,8,0.639,0.539,11,3
D05779,prostate_cancer,EGFR,1,1,0.854,513.8,1.39,2,1,7972,4,0.5,0.405,8,2
D05780,colon_cancer,mTOR,1,0,0.738,489.5,2.11,2,0,23065,7,0.795,0.611,8,3
D05781,melanoma,ALK,0,0,0.501,493.7,2.09,1,0,8011,2,0.595,0.461,10,2
D05782,ovarian_cancer,PD1,0,0,0.835,385.2,4.28,0,0,8730,1,0.434,0.338,8,2
D05783,ovarian_cancer,BRAF,1,0,0.453,565.6,3.0,1,0,6117,4,0.566,0.489,12,2
D05784,breast_cancer,PD1,0,1,0.458,494.8,2.8,0,1,33478,8,0.237,0.171,13,1
D05785,prostate_cancer,mTOR,1,1,0.412,525.6,2.46,1,1,9289,3,0.341,0.295,13,2
D05786,ovarian_cancer,VEGF,1,1,0.631,559.5,2.8,1,1,8202,5,0.316,0.277,11,1
D05787,lung_cancer,EGFR,1,1,0.574,446.4,3.02,1,0,33877,10,0.644,0.554,9,1
D05788,ovarian_cancer,BRAF,1,0,0.422,432.7,3.26,2,0,8984,4,0.755,0.562,14,1
D05789,colon_cancer,EGFR,1,0,0.769,437.0,3.37,2,0,17629,4,0.798,0.579,12,3
D05790,colon_cancer,VEGF,1,1,0.484,577.3,2.42,1,1,24007,5,0.395,0.255,13,2
D05791,breast_cancer,mTOR,0,0,0.616,469.6,3.37,1,0,39068,10,0.67,0.474,12,2
D05792,breast_cancer,EGFR,0,1,0.562,445.1,3.37,0,1,32271,10,0.211,0.22,12,3
D05793,ovarian_cancer,VEGF,0,1,0.68,524.4,3.87,0,1,4007,4,0.13,0.152,8,2
D05794,ovarian_cancer,HER2,1,1,0.474,431.5,2.25,1,0,8079,1,0.605,0.486,8,2
D05795,breast_cancer,mTOR,0,0,0.535,455.4,2.23,1,0,25459,8,0.622,0.512,12,3
D05796,prostate_cancer,VEGF,0,1,0.681,525.2,2.07,1,0,13214,4,0.601,0.412,8,2
D05797,prostate_cancer,VEGF,1,0,0.892,666.6,4.04,2,0,8069,5,0.74,0.578,14,1
D05798,lung_cancer,EGFR,0,1,0.636,481.0,3.69,0,1,26164,7,0.211,0.134,13,2
D05799,prostate_cancer,HER2,1,0,0.648,349.1,5.02,2,0,7767,5,0.739,0.605,12,1
D05800,breast_cancer,BRAF,1,0,0.415,432.8,2.9,2,0,37735,9,0.849,0.659,8,2
D05801,prostate_cancer,PD1,1,0,0.795,331.5,3.39,2,0,14094,3,0.79,0.604,12,3
D05802,prostate_cancer,mTOR,1,0,0.697,391.5,3.08,2,0,10896,4,0.764,0.593,10,3
D05803,breast_cancer,VEGF,0,0,0.795,436.5,2.14,1,0,25409,5,0.652,0.439,11,2
D05804,melanoma,EGFR,1,1,0.469,415.7,3.18,1,1,9463,3,0.342,0.29,11,2
D05805,lung_cancer,VEGF,1,1,0.413,377.5,2.4,0,1,28293,4,0.251,0.201,10,3
D05806,lung_cancer,BRAF,0,0,0.745,533.1,5.08,0,0,49253,5,0.596,0.375,14,2
D05807,ovarian_cancer,HER2,0,1,0.767,518.2,2.27,0,1,6841,2,0.164,0.14,9,1
D05808,melanoma,VEGF,0,1,0.434,450.6,3.03,0,1,7303,3,0.157,0.09,12,2
D05809,prostate_cancer,PD1,0,1,0.799,452.0,3.72,0,1,10675,2,0.183,0.172,14,2
D05810,prostate_cancer,EGFR,1,0,0.783,497.4,3.73,2,0,8252,4,0.751,0.588,8,3
D05811,ovarian_cancer,ALK,1,0,0.617,454.8,4.06,1,0,4164,1,0.586,0.406,10,2
D05812,prostate_cancer,PD1,1,0,0.688,466.7,2.22,2,0,13813,2,0.799,0.563,9,3
D05813,lung_cancer,PD1,0,0,0.45,654.2,1.54,0,0,27543,4,0.498,0.415,13,2
D05814,colon_cancer,ALK,0,0,0.647,420.9,2.5,1,0,28906,7,0.65,0.476,11,1
D05815,prostate_cancer,VEGF,1,0,0.549,680.7,4.45,1,1,10871,5,0.329,0.216,14,1
