indication,target,molecular_weight,logP,traditional_time_years
asthma,MYC,501.5,5.08,12.16
chronic_pain,IL-6,626.5,3.08,13.19
kidney_cancer,CD38,200.0,4.24,13.09
colorectal_cancer,IL-17,406.8,2.2,13.68
cardiomyopathy,EGF,418.1,2.55,9.09
crohns_disease,RAS,499.0,1.44,13.26
atherosclerosis,NF-kB,363.8,3.34,10.83
kidney_cancer,NMDA,499.8,3.64,12.82
psoriasis,BCMA,387.0,2.02,11.57
colorectal_cancer,PD-1,409.5,3.24,13.12
stroke,AMPA,568.8,0.95,10.21
pneumonia,HDAC,432.3,1.67,7.06
hypertension,AMPA,317.8,3.97,8.05
obesity,NF-kB,493.6,3.45,10.09
kidney_disease,BRD4,523.7,2.52,9.07
bipolar_disorder,ERK,415.4,5.19,12.07
hiv_aids,EGF,430.3,3.74,9.23
lymphoma,GLP-1R,450.5,1.15,13.45
myocardial_infarction,BTK,286.4,2.42,7.57
breast_cancer,NTRK,534.5,3.79,14.38
osteoporosis,TIM3,523.1,2.01,10.37
stomach_cancer,D2,579.3,2.04,12.02
parkinsons,ROS1,467.0,2.99,10.93
ovarian_cancer,CD47,436.1,4.34,13.36
cardiomyopathy,HDAC,393.6,1.65,9.21
stroke,CTLA-4,451.6,2.6,12.85
melanoma,GCGR,720.2,3.68,12.67
lung_cancer,IL-4,417.3,1.94,11.57
crohns_disease,LAG3,299.6,1.97,11.94
crohns_disease,BRD4,459.2,4.43,11.77
cervical_cancer,5-HT1A,539.7,3.23,13.78
brain_cancer,ERK,424.1,3.27,13.1
type1_diabetes,NF-kB,408.5,4.72,11.12
cervical_cancer,GIPR,434.9,2.91,13.26
arrhythmia,5-HT2A,272.7,2.8,10.49
alzheimers,BCR-ABL,516.9,1.93,13.16
covid_19,EGFR,389.9,3.79,8.7
lung_cancer,SGLT2,331.9,4.06,13.64
prostate_cancer,CDK4,407.4,2.61,9.99
lymphoma,FGF,360.1,3.38,14.74
arrhythmia,BTK,646.8,3.78,13.38
adhd,PD-1,380.9,4.14,11.46
pancreatic_cancer,HGF,424.7,4.37,11.54
atherosclerosis,PD-L1,514.5,0.06,10.3
ovarian_cancer,MEK,369.7,3.94,14.52
type1_diabetes,IGF1R,462.1,1.98,9.9
psoriasis,OX40,399.3,1.09,11.45
multiple_sclerosis,GR,442.9,5.21,13.05
alzheimers,NOTCH,514.4,5.19,12.88
osteoporosis,ERK,520.6,4.03,10.17
colorectal_cancer,BCMA,607.9,3.38,16.08
schizophrenia,TIM3,435.0,4.03,11.66
osteoporosis,CD30,566.3,2.52,10.68
kidney_cancer,PI3K,392.3,3.14,11.38
stomach_cancer,AMPA,516.5,3.8,11.91
liver_cancer,HER2,336.1,4.91,12.26
covid_19,CD47,398.7,2.73,9.31
stroke,PR,377.8,5.7,10.43
obesity,TOP2,469.4,2.15,10.16
depression,NMDA,519.1,3.77,10.79
hiv_aids,CTLA-4,435.0,3.84,8.68
tuberculosis,PI3K,384.0,2.51,7.86
coronary_artery_disease,AP-1,289.2,1.68,9.97
colon_cancer,TIM3,594.6,4.64,11.63
ulcerative_colitis,GPC3,455.3,4.66,9.77
leukemia,HGF,437.2,2.76,12.74
bladder_cancer,IL-6,454.5,2.88,13.76
colon_cancer,LAG3,432.8,4.14,14.72
cervical_cancer,MEK,462.0,3.71,13.77
huntingtons,Hedgehog,532.5,3.39,14.98
stroke,EGFR,372.4,1.65,9.27
liver_disease,PDGFR,461.9,2.83,9.91
cardiomyopathy,HDAC,457.0,2.98,11.88
malaria,GPC3,656.7,1.67,8.48
sepsis,IL-4,290.8,3.33,9.25
ulcerative_colitis,Wnt,419.9,3.32,13.84
arrhythmia,CD33,496.7,4.28,11.09
copd,AKT,329.4,2.44,9.53
schizophrenia,PR,484.3,3.77,11.81
type2_diabetes,CD22,625.5,3.96,13.43
osteoporosis,CDK4,445.5,2.11,10.07
breast_cancer,BRD4,404.9,2.41,12.58
hiv_aids,CDK4,502.4,3.26,9.46
hepatitis_b,JAK,344.1,2.56,8.5
arrhythmia,ERK,520.2,3.35,8.67
anxiety,FGF,495.5,3.38,12.09
hepatitis_c,PR,580.1,3.24,6.84
hepatitis_b,GR,419.1,2.08,7.13
bladder_cancer,HGF,470.0,0.56,12.27
ovarian_cancer,HER3,435.3,2.79,12.66
esophageal_cancer,EGF,340.8,2.07,10.66
colon_cancer,ERK,514.8,3.23,10.81
multiple_sclerosis,ER_beta,458.1,3.31,12.84
prostate_cancer,IL-17,457.4,4.24,10.16
hiv_aids,TIGIT,459.9,1.54,10.76
kidney_cancer,NMDA,580.4,3.37,14.56
parkinsons,IL-17,402.9,1.75,11.2
crohns_disease,TOP2,481.7,2.88,10.55
influenza,GLP-1R,575.9,2.65,9.52
alzheimers,STAT,383.0,3.9,12.02
autism,OX40,524.0,3.17,12.52
cardiomyopathy,NTRK,504.1,2.96,9.24
anxiety,VEGFPARP,468.7,4.16,12.01
asthma,AP-1,500.0,2.83,11.61
copd,SGLT2,558.2,0.64,12.72
alzheimers,CTLA-4,614.2,1.29,16.0
liver_cancer,NMDA,399.8,2.96,11.34
influenza,HER3,438.3,4.01,10.65
atherosclerosis,CDK6,365.4,3.26,8.75
arrhythmia,OX40,403.7,3.3,10.16
schizophrenia,TIM3,444.8,3.09,10.67
ulcerative_colitis,STAT,406.0,2.49,10.74
breast_cancer,CDK4,473.0,3.94,11.43
multiple_sclerosis,ER_beta,402.1,2.13,12.16
ovarian_cancer,TIGIT,499.1,2.97,14.61
schizophrenia,c-MET,516.4,2.09,11.88
psoriasis,TOP2,307.6,2.47,10.06
schizophrenia,CDK6,388.7,2.92,9.58
prostate_cancer,VEGFR,399.1,3.74,12.2
autism,GLP-1R,426.9,3.15,9.64
hepatitis_b,NTRK,462.6,3.19,8.86
chronic_pain,LAG3,448.1,3.51,10.64
hyperlipidemia,ROS1,386.3,4.4,9.43
type1_diabetes,SGLT2,431.1,1.69,10.1
gout,TOP2,465.0,2.15,8.75
liver_cancer,ER_alpha,503.2,5.21,13.87
chronic_pain,MYC,387.1,3.33,12.2
asthma,CDK4,309.6,3.45,10.32
rheumatoid_arthritis,CD38,379.1,2.38,9.82
gout,HER3,361.9,3.73,8.3
tuberculosis,VEGFR,530.6,3.02,9.1
influenza,TIM3,380.8,4.59,12.44
influenza,DNMT,390.0,0.84,8.93
thyroid_cancer,IL-13,486.7,1.9,13.06
hepatitis_b,NMDA,529.1,2.62,10.89
prostate_cancer,IL-1,498.3,4.4,12.18
parkinsons,TNF_alpha,353.3,2.43,12.99
ovarian_cancer,AR,443.9,4.54,12.33
arrhythmia,IL-1,397.3,2.41,11.29
arthritis,AMPA,488.3,2.42,11.28
lupus,Wnt,462.2,1.45,11.55
colon_cancer,AKT,627.1,1.65,15.12
tuberculosis,ALK,424.3,2.97,9.59
colorectal_cancer,MR,603.0,1.68,11.8
coronary_artery_disease,EGF,608.7,3.76,13.93
asthma,JAK,483.4,2.02,11.89
myocardial_infarction,IL-1,495.7,2.28,10.77
coronary_artery_disease,GABA_A,551.3,2.03,8.0
crohns_disease,HDAC,440.9,2.44,11.37
lung_cancer,IL-23,371.0,3.74,12.59
arrhythmia,GR,492.8,4.21,9.87
alzheimers,BCR-ABL,307.6,4.06,12.75
migraine,CD33,650.4,2.55,12.12
anxiety,GPC3,601.6,2.74,13.27
hyperlipidemia,RAS,340.2,2.69,8.53
autism,MYC,533.9,2.16,13.55
fibromyalgia,TIGIT,402.0,3.59,11.38
hypertension,ALK,450.2,3.58,9.92
hepatitis_c,NMDA,469.0,3.48,8.42
hyperlipidemia,HIF,415.4,3.23,7.82
insomnia,HGF,375.8,4.29,11.82
bladder_cancer,BRD4,399.3,4.13,12.83
hypertension,NF-kB,431.3,3.2,9.8
cardiomyopathy,D2,410.4,1.98,10.56
bladder_cancer,RAS,310.4,1.94,14.23
colorectal_cancer,IL-1,424.1,3.21,12.26
liver_cancer,5-HT2A,530.8,2.55,9.89
hepatitis_c,IL-13,379.4,1.56,7.04
adhd,IL-17,488.4,4.38,11.45
prostate_cancer,5-HT2A,551.3,3.71,10.96
psoriasis,FGF,501.1,4.7,10.76
hepatitis_c,IL-4,476.6,3.65,6.83
gout,VEGFPARP,424.3,1.64,7.56
breast_cancer,TGF_beta,395.3,2.99,9.16
thyroid_cancer,5-HT2A,454.9,4.93,12.13
atherosclerosis,LAG3,456.5,4.18,10.87
hyperlipidemia,Hedgehog,415.2,2.69,10.99
kidney_disease,EGFR,343.7,2.26,8.36
hypertension,CD20,492.2,3.01,10.57
prostate_cancer,HGF,525.4,3.18,11.89
pneumonia,CEA,421.8,5.15,9.82
hiv_aids,IGF1R,442.5,4.16,8.49
lung_cancer,mTOR,417.9,3.71,13.44
colon_cancer,CD22,524.2,3.21,12.14
arthritis,ROS1,261.6,3.02,10.33
depression,HER3,548.4,3.53,14.15
schizophrenia,IL-1,485.7,1.28,11.39
covid_19,GABA_B,392.4,3.41,8.74
hiv_aids,MR,482.8,4.21,7.39
tuberculosis,VEGFR,438.4,3.41,8.36
insomnia,MR,451.3,2.01,8.54
obesity,HGF,269.5,3.43,7.45
myocardial_infarction,AKT,463.9,2.38,11.63
stroke,MYC,320.5,3.63,10.49
cervical_cancer,HER2,428.7,3.56,12.29
hepatitis_b,CDK6,599.1,0.86,9.15
heart_failure,BCR-ABL,394.0,2.79,14.2
als,DNMT,566.4,1.36,10.58
hiv_aids,TGF_beta,604.9,3.14,9.86
malaria,HER2,442.3,2.8,8.49
bladder_cancer,IL-6,415.1,4.05,15.05
als,NTRK,364.5,3.35,11.06
esophageal_cancer,MEK,419.3,2.24,13.41
liver_cancer,CD19,656.9,3.42,14.98
liver_cancer,CD22,499.1,4.14,16.26
stomach_cancer,DNMT,336.3,4.75,10.89
asthma,mTOR,249.3,2.23,7.31
crohns_disease,AR,413.3,3.58,11.04
colon_cancer,CD19,467.5,2.83,16.29
kidney_cancer,IL-6,449.0,2.02,10.36
kidney_disease,GLP-1R,330.2,3.73,8.2
autism,TGF_beta,505.5,4.58,14.24
pancreatic_cancer,NF-kB,386.8,3.69,14.05
lung_cancer,ROS1,427.3,4.19,12.12
lung_cancer,D2,531.8,3.21,13.19
malaria,EGF,422.8,3.96,8.71
bipolar_disorder,EGFR,501.8,2.32,10.66
huntingtons,PI3K,343.8,2.71,11.06
copd,AP-1,571.2,4.15,10.97
leukemia,HER2,361.0,1.83,10.02
arrhythmia,ALK,552.0,1.86,10.64
kidney_cancer,TOP1,490.7,2.38,12.68
myocardial_infarction,PDGFR,579.4,2.23,8.35
stomach_cancer,BCR-ABL,541.5,3.18,11.69
adhd,BTK,470.2,1.03,12.75
covid_19,OX40,273.8,2.78,9.11
influenza,IL-23,469.8,1.87,8.65
liver_cancer,EGFR,362.9,3.56,12.72
stomach_cancer,NMDA,495.0,2.86,13.75
celiac_disease,RET,512.4,1.83,11.01
type1_diabetes,ROS1,421.5,4.65,10.97
stomach_cancer,TGF_beta,455.5,3.13,13.22
esophageal_cancer,NTRK,634.5,1.6,13.6
osteoporosis,CEA,513.7,4.66,8.62
kidney_disease,NMDA,424.0,3.86,7.71
als,HER2,371.4,2.31,11.58
depression,HER3,480.8,3.8,13.44
heart_failure,CDK6,539.7,4.57,9.62
hyperlipidemia,PR,444.6,4.19,10.14
ovarian_cancer,PD-1,422.6,3.9,12.99
hiv_aids,TIGIT,466.6,3.45,10.27
breast_cancer,MEK,483.9,1.4,11.58
brain_cancer,ER_beta,360.1,3.1,11.43
alzheimers,PD-1,315.0,3.83,10.66
sepsis,CD20,519.7,3.33,11.46
malaria,GABA_A,360.3,4.38,7.1
copd,PDGFR,613.0,3.15,11.68
thyroid_cancer,RAS,490.8,3.2,15.15
anxiety,TOP1,492.4,2.88,9.61
hypertension,AR,447.2,3.91,8.95
depression,IL-13,637.6,1.6,10.95
stroke,AP-1,441.7,1.82,8.61
hiv_aids,VEGFR,577.4,2.41,8.48
coronary_artery_disease,BRAF,334.5,3.64,8.18
lung_cancer,NMDA,589.5,3.66,12.11
bipolar_disorder,AMPA,466.4,3.41,12.22
colon_cancer,Wnt,563.2,2.13,15.03
stomach_cancer,NOTCH,441.1,2.55,14.64
kidney_disease,AR,356.6,2.67,11.48
hepatitis_b,BTK,538.6,3.57,7.9
lung_cancer,CEA,501.5,3.15,10.8
stomach_cancer,IL-23,491.9,2.2,10.88
covid_19,EGFR,425.2,3.19,7.84
ulcerative_colitis,FGFR,472.2,3.32,9.99
malaria,HER2,438.9,2.62,8.9
brain_cancer,HIF,702.6,3.91,13.5
thyroid_cancer,HER2,483.1,2.77,13.95
arrhythmia,IGF1R,413.9,2.87,10.85
colorectal_cancer,BRAF,473.4,1.12,10.66
coronary_artery_disease,STAT,324.4,2.36,10.27
sepsis,RAS,466.6,2.76,10.43
osteoporosis,PDGFR,568.2,1.52,6.88
colon_cancer,5-HT1A,389.9,4.52,12.82
crohns_disease,CTLA-4,460.5,3.88,14.6
lupus,OX40,614.1,2.31,13.91
ulcerative_colitis,TOP1,442.1,2.73,10.06
thyroid_cancer,IL-13,293.6,2.69,11.45
anxiety,CD38,520.5,3.54,11.22
obesity,MEK,499.5,2.62,6.75
hepatitis_b,ER_beta,397.5,4.27,6.45
hepatitis_c,AKT,410.2,3.29,8.24
bipolar_disorder,D2,463.1,4.46,12.08
hiv_aids,HER3,527.7,1.7,8.36
type2_diabetes,TNF_alpha,355.0,3.58,9.53
lung_cancer,c-MET,444.9,2.54,12.47
brain_cancer,GLP-1R,531.3,3.19,11.52
type1_diabetes,IL-17,454.2,3.78,9.83
huntingtons,CD20,420.0,4.57,11.27
hyperlipidemia,LAG3,387.0,3.66,11.64
sepsis,HGF,564.7,1.62,6.47
esophageal_cancer,HIF,422.5,4.14,14.23
malaria,CD20,542.6,2.83,11.57
thyroid_cancer,IL-13,391.2,3.96,12.06
liver_disease,LAG3,544.7,1.84,12.2
lung_cancer,ER_alpha,353.7,3.23,11.88
als,AMPA,500.3,2.7,12.52
autism,PD-L1,504.3,2.29,13.84
colorectal_cancer,MYC,280.8,2.58,11.6
copd,DNMT,455.1,2.72,10.63
hiv_aids,CD19,357.3,1.18,9.68
migraine,ERK,408.9,3.9,13.72
pneumonia,ER_beta,550.5,4.19,8.94
arrhythmia,GCGR,384.7,1.85,9.53
coronary_artery_disease,TOP1,489.7,3.64,11.4
hypertension,PDGFR,482.0,0.99,9.06
leukemia,CTLA-4,380.6,2.97,13.45
myocardial_infarction,IL-6,489.0,3.77,8.61
adhd,GABA_B,461.5,3.33,12.08
breast_cancer,AMPA,456.8,3.69,10.72
schizophrenia,CD47,475.0,3.07,10.17
influenza,CD33,428.5,3.08,8.73
cardiomyopathy,IL-13,488.8,3.27,11.31
lung_cancer,PR,480.5,4.34,13.73
heart_failure,BTK,471.2,2.35,11.0
heart_failure,mTOR,520.7,1.63,9.93
parkinsons,HDAC,363.5,3.34,13.19
pancreatic_cancer,PR,491.3,1.75,11.52
influenza,EGFR,419.4,2.39,7.6
pancreatic_cancer,CD38,411.1,3.94,12.22
adhd,AKT,506.5,2.98,11.6
asthma,CD20,406.3,1.65,12.1
prostate_cancer,HIF,563.6,3.59,14.05
arthritis,CDK4,393.5,3.72,9.6
obesity,FGF,444.4,2.71,10.26
coronary_artery_disease,HER2,484.8,2.26,11.01
hiv_aids,JAK,422.5,3.12,9.86
hiv_aids,LAG3,410.0,3.67,11.91
lupus,RAS,599.5,2.25,13.07
kidney_disease,EGF,316.8,1.0,11.04
stomach_cancer,CTLA-4,438.0,2.34,14.72
lupus,CD30,466.6,3.13,9.26
alzheimers,BRAF,321.7,1.19,11.95
cervical_cancer,TOP1,473.7,3.14,13.62
cervical_cancer,NTRK,415.9,1.34,11.24
stomach_cancer,AP-1,487.7,4.27,13.29
psoriasis,TOP2,472.2,2.15,8.91
covid_19,GIPR,453.6,1.63,10.0
colon_cancer,JAK,534.6,3.08,14.51
adhd,GABA_B,308.5,2.7,9.52
osteoporosis,5-HT1A,487.1,2.67,9.18
fibromyalgia,TNF_alpha,427.9,1.78,10.68
cervical_cancer,HDAC,495.3,2.35,12.47
kidney_cancer,CD38,277.5,2.63,12.93
bladder_cancer,AR,528.5,2.61,13.35
huntingtons,EGF,589.0,3.43,11.63
schizophrenia,PR,477.1,2.87,9.64
influenza,NOTCH,444.5,2.74,9.92
migraine,EGFR,425.8,3.53,13.14
cardiomyopathy,PR,375.1,1.92,10.59
kidney_cancer,EGF,360.1,5.05,14.02
leukemia,SGLT2,492.4,3.3,12.47
arthritis,MR,365.4,3.62,11.57
chronic_pain,GR,440.7,3.21,9.64
celiac_disease,GABA_B,371.9,3.16,10.94
asthma,GIPR,416.1,2.23,8.41
gout,IL-17,508.7,1.46,9.2
insomnia,mTOR,495.2,3.68,8.55
stomach_cancer,SGLT2,379.6,2.18,10.86
myocardial_infarction,CTLA-4,432.2,3.28,13.21
asthma,CD19,437.8,3.43,10.69
cardiomyopathy,IL-17,591.0,2.49,9.67
tuberculosis,HER3,312.8,3.83,8.75
ovarian_cancer,c-MET,584.7,3.39,12.62
ovarian_cancer,NOTCH,363.0,2.88,12.93
hepatitis_b,IGF1R,360.5,3.64,7.16
bladder_cancer,IL-4,341.9,2.7,12.58
depression,c-MET,369.7,3.13,9.67
malaria,Wnt,420.7,3.18,9.57
kidney_disease,AKT,451.8,2.01,11.13
heart_failure,TGF_beta,500.2,2.95,8.67
gout,p53,370.9,5.24,10.17
hyperlipidemia,GABA_A,488.1,2.85,8.86
crohns_disease,GABA_B,563.2,4.84,13.81
psoriasis,HGF,438.4,3.35,12.32
malaria,EGFR,371.0,2.85,7.24
ovarian_cancer,TOP2,434.1,3.18,13.95
colon_cancer,CD38,476.6,3.56,13.02
sepsis,JAK,469.0,1.79,10.34
influenza,5-HT2A,374.9,2.45,8.8
type2_diabetes,VEGFPARP,427.4,4.05,10.62
schizophrenia,IL-6,357.0,2.64,11.69
cervical_cancer,MYC,526.2,2.7,14.33
depression,BRD4,486.8,2.86,11.23
multiple_sclerosis,CDK4,470.5,2.77,13.36
type2_diabetes,IL-13,503.4,1.45,8.08
pneumonia,SGLT2,420.9,3.3,10.58
leukemia,GCGR,492.7,4.49,10.14
parkinsons,AP-1,418.7,4.48,13.16
brain_cancer,IL-17,397.3,4.33,13.82
arthritis,MEK,515.4,2.09,8.68
hyperlipidemia,CEA,474.6,2.95,10.1
prostate_cancer,SGLT2,500.0,2.78,13.51
hypertension,TOP1,425.4,4.37,10.08
arthritis,HGF,442.1,3.83,7.62
arrhythmia,TOP2,432.0,4.67,10.59
tuberculosis,CD30,395.7,2.39,10.22
covid_19,IGF1R,572.0,2.56,10.07
covid_19,HGF,578.1,3.89,8.71
influenza,SGLT2,437.6,1.19,9.3
stomach_cancer,IL-4,448.5,3.1,13.17
alzheimers,5-HT1A,543.4,4.59,11.64
kidney_cancer,TGF_beta,395.2,3.8,13.06
gout,CDK4,511.2,4.07,8.58
fibromyalgia,GCGR,489.9,1.06,9.68
heart_failure,HER3,437.6,1.84,10.6
heart_failure,PD-1,433.8,3.98,10.63
stroke,VEGFPARP,474.4,4.15,12.14
colorectal_cancer,Hedgehog,477.3,1.7,16.26
leukemia,MEK,248.3,3.15,13.71
leukemia,IL-1,432.9,2.02,13.13
kidney_disease,EGFR,313.9,2.27,11.45
pancreatic_cancer,PI3K,434.4,3.67,10.17
hypertension,BCR-ABL,465.1,4.61,12.53
depression,IL-1,367.2,3.88,12.65
pneumonia,PDGFR,453.8,3.69,8.04
crohns_disease,5-HT2A,415.1,4.07,11.19
multiple_sclerosis,JAK,473.6,2.32,10.21
kidney_disease,GCGR,449.0,2.76,8.39
arrhythmia,AP-1,489.1,1.82,11.2
crohns_disease,CD38,447.7,3.4,10.41
lupus,GCGR,452.6,4.35,10.73
brain_cancer,IL-17,511.9,2.99,12.85
multiple_sclerosis,IL-6,467.3,3.3,10.5
rheumatoid_arthritis,ER_alpha,482.3,1.17,12.68
stomach_cancer,CD22,425.9,1.52,13.73
lymphoma,MEK,552.3,2.94,15.12
bladder_cancer,STAT,434.5,3.9,12.05
osteoporosis,IL-23,483.8,1.87,9.28
influenza,D2,444.3,2.66,9.96
hypertension,TOP2,310.4,2.31,10.43
schizophrenia,GPC3,435.3,2.89,10.52
asthma,EGF,331.4,4.15,11.29
epilepsy,GLP-1R,441.8,3.04,11.76
prostate_cancer,c-MET,482.1,2.21,12.79
copd,DNMT,486.5,2.63,11.04
alzheimers,PI3K,378.3,3.57,11.15
coronary_artery_disease,RAS,569.3,3.72,13.87
epilepsy,BRD4,523.8,2.48,12.36
alzheimers,VEGFR,322.2,4.49,9.58
adhd,HIF,614.4,4.54,12.24
obesity,c-MET,423.1,1.85,8.73
als,HGF,364.7,1.32,11.44
alzheimers,CD20,441.4,4.61,12.25
thyroid_cancer,BCMA,438.7,3.3,15.36
kidney_disease,TIM3,560.0,2.6,13.5
tuberculosis,c-MET,612.8,4.99,11.68
leukemia,GR,439.5,2.42,12.33
anxiety,NTRK,505.8,2.65,11.03
copd,AR,357.5,4.28,10.18
huntingtons,TGF_beta,547.3,3.16,9.97
colorectal_cancer,mTOR,349.0,1.77,12.42
migraine,STAT,458.6,2.5,11.14
type1_diabetes,HER4,422.7,4.02,11.61
stroke,VEGFPARP,508.7,4.38,9.8
hyperlipidemia,D2,370.8,2.66,8.57
hepatitis_c,MR,510.7,3.45,8.66
lupus,PR,572.6,3.42,13.01
pancreatic_cancer,AKT,597.8,3.54,13.42
multiple_sclerosis,TIM3,535.0,2.68,13.56
influenza,GLP-1R,451.1,3.91,8.81
prostate_cancer,NTRK,579.0,3.73,11.48
heart_failure,Wnt,443.3,4.38,10.91
bipolar_disorder,HER4,274.6,1.58,10.23
pneumonia,CD20,504.5,3.01,11.38
hyperlipidemia,FGFR,498.4,3.06,7.54
cervical_cancer,ER_beta,495.7,2.19,11.62
celiac_disease,HIF,495.6,3.99,10.71
coronary_artery_disease,Wnt,547.6,5.01,12.17
brain_cancer,CD20,469.5,3.27,15.02
crohns_disease,EGFR,328.1,2.47,12.36
alzheimers,TIM3,434.6,4.05,14.46
copd,BRAF,401.1,3.8,9.3
epilepsy,EGF,449.9,2.82,8.84
epilepsy,c-MET,469.9,2.61,9.88
esophageal_cancer,ER_alpha,415.7,1.3,13.15
heart_failure,GPC3,430.2,2.52,8.04
pneumonia,IL-17,408.7,3.42,8.72
liver_cancer,AKT,502.7,3.23,12.33
crohns_disease,OX40,529.6,3.58,10.13
leukemia,IL-1,426.4,2.54,11.75
arthritis,FGFR,475.0,3.57,8.55
copd,PD-L1,561.8,4.19,9.07
brain_cancer,c-MET,406.7,2.9,11.2
arrhythmia,Hedgehog,503.7,4.07,10.6
stomach_cancer,IL-13,525.1,2.94,11.63
insomnia,CD30,349.7,2.0,9.67
bladder_cancer,MR,471.8,3.34,12.35
tuberculosis,HGF,362.1,3.04,10.31
stomach_cancer,ER_alpha,500.5,1.85,13.88
breast_cancer,GR,538.4,2.62,9.29
arthritis,GIPR,550.6,2.47,12.16
ulcerative_colitis,HER3,367.9,2.54,12.07
anxiety,NTRK,442.4,2.61,9.4
hepatitis_b,AMPA,432.7,3.33,6.99
hypertension,HER3,436.3,2.93,8.89
tuberculosis,PD-L1,313.3,3.39,7.89
pancreatic_cancer,VEGFR,442.9,4.61,14.77
myocardial_infarction,FGFR,374.8,1.19,8.99
colorectal_cancer,NTRK,499.4,3.35,14.81
stomach_cancer,VEGFPARP,369.3,1.47,12.65
multiple_sclerosis,EGF,573.0,4.41,8.79
stroke,IL-6,251.0,2.54,8.95
coronary_artery_disease,PD-L1,583.1,2.52,12.78
hepatitis_b,OX40,410.8,2.72,8.18
hiv_aids,CD20,360.3,1.3,12.37
myocardial_infarction,LAG3,534.2,1.16,11.55
myocardial_infarction,FGFR,469.8,3.89,11.04
celiac_disease,PD-L1,333.9,2.08,12.71
als,TIGIT,547.1,3.53,13.46
asthma,TOP2,400.6,4.2,9.89
brain_cancer,CD38,546.5,3.27,14.42
hiv_aids,ER_alpha,378.0,2.59,9.59
kidney_disease,AR,472.9,2.81,11.66
als,Wnt,525.1,1.47,12.82
schizophrenia,NMDA,330.5,3.18,12.2
obesity,ERK,410.7,2.37,8.9
schizophrenia,PR,308.6,3.02,9.84
hepatitis_b,mTOR,445.8,3.65,9.77
psoriasis,PD-L1,455.5,2.87,12.14
gout,GABA_B,544.2,1.69,10.49
asthma,ROS1,492.9,1.33,8.57
hepatitis_c,STAT,382.9,1.79,9.55
schizophrenia,DNMT,512.6,2.93,12.76
arthritis,GLP-1R,448.9,1.89,9.09
hepatitis_b,NTRK,426.0,2.24,8.25
asthma,BCR-ABL,480.7,2.01,12.83
stomach_cancer,SGLT2,556.4,1.32,11.42
arthritis,ROS1,385.5,4.68,9.82
cardiomyopathy,5-HT1A,415.2,1.69,8.0
liver_disease,HDAC,467.5,2.52,9.73
asthma,CDK4,383.1,1.9,11.48
leukemia,TIGIT,671.5,2.75,15.85
colon_cancer,AR,296.0,4.49,13.58
anxiety,PR,498.9,2.23,12.24
influenza,PR,375.4,3.67,8.07
arrhythmia,AR,430.2,1.07,11.08
hiv_aids,HDAC,593.0,2.57,10.43
colon_cancer,HGF,569.6,4.28,14.38
breast_cancer,DNMT,369.9,4.03,11.95
esophageal_cancer,VEGFPARP,397.9,1.13,11.42
bipolar_disorder,FGF,416.0,3.4,11.2
colorectal_cancer,MR,413.0,2.69,12.66
multiple_sclerosis,RAS,541.5,3.11,10.22
colorectal_cancer,VEGFPARP,382.5,3.7,12.28
schizophrenia,HGF,465.8,0.48,10.09
schizophrenia,DNMT,484.3,3.39,11.87
alzheimers,TIGIT,451.6,3.89,11.94
autism,RET,396.2,3.34,13.36
liver_disease,RAS,324.6,3.41,9.56
lymphoma,GR,606.2,2.01,11.75
esophageal_cancer,HER4,389.2,2.29,10.72
coronary_artery_disease,VEGFR,460.4,1.94,8.69
hepatitis_c,SGLT2,483.7,3.85,10.86
pancreatic_cancer,ALK,492.7,1.23,13.55
hypertension,PI3K,529.6,3.94,12.2
autism,TNF_alpha,516.4,3.37,13.21
autism,MEK,467.6,4.03,12.38
tuberculosis,IGF1R,603.9,2.05,11.37
leukemia,HDAC,536.3,2.91,13.17
copd,NTRK,439.6,1.46,11.96
liver_disease,VEGFPARP,427.2,2.0,8.3
leukemia,HGF,412.9,1.9,14.06
colon_cancer,CD20,414.1,2.59,15.79
chronic_pain,TGF_beta,457.7,1.39,10.64
brain_cancer,PI3K,334.4,3.36,9.65
colon_cancer,GABA_A,386.2,4.07,13.95
parkinsons,GIPR,468.0,3.61,11.16
bipolar_disorder,GLP-1R,562.9,2.69,9.43
esophageal_cancer,VEGFR,404.0,3.87,14.08
melanoma,AP-1,490.8,2.81,13.74
anxiety,CDK4,561.3,2.79,9.51
bladder_cancer,ALK,452.6,3.02,12.23
ulcerative_colitis,FGFR,375.2,3.08,11.79
stroke,AR,561.7,3.44,8.33
type1_diabetes,CD47,452.5,2.84,10.01
liver_disease,CD22,476.5,3.75,12.76
anxiety,GABA_A,498.7,2.67,11.77
depression,IL-6,476.0,3.48,11.86
anxiety,TNF_alpha,369.4,3.17,11.81
kidney_cancer,HER4,277.1,3.48,11.45
malaria,D2,502.8,3.75,8.09
type2_diabetes,CEA,418.4,3.31,9.82
stroke,D2,563.9,4.41,9.97
heart_failure,AR,447.7,3.14,9.98
type2_diabetes,GR,538.9,1.5,9.23
asthma,HER3,424.2,4.34,10.07
depression,VEGFPARP,528.0,3.37,12.31
fibromyalgia,HIF,329.5,2.95,10.78
ovarian_cancer,IL-1,402.8,3.33,13.02
lung_cancer,Wnt,385.3,1.97,15.23
schizophrenia,NTRK,284.8,4.22,10.81
atherosclerosis,TNF_alpha,418.0,3.16,10.35
coronary_artery_disease,AKT,449.8,1.93,8.99
