indication,target,molecular_weight,logP,toxicity_label
psoriasis,5-HT1A,573.209,3.968,0
depression,NMDA,403.351,3.937,1
prostate_cancer,HER2,429.812,3.584,1
lymphoma,HER2,512.702,3.779,1
schizophrenia,D2,473.586,2.804,0
copd,mTOR,476.322,4.968,0
schizophrenia,BRAF,463.856,1.174,1
obesity,GLP-1R,519.282,4.475,0
colon_cancer,NMDA,395.365,2.639,0
prostate_cancer,PD-L1,296.509,1.409,0
psoriasis,GLP-1R,548.286,5.202,0
lymphoma,HER2,394.628,4.29,1
colorectal_cancer,IL-6,394.335,2.841,1
colon_cancer,D2,447.599,2.348,0
colon_cancer,NMDA,343.799,2.499,0
lung_cancer,D2,459.526,0.641,0
ovarian_cancer,EGFR,518.855,2.167,0
obesity,PD-L1,296.865,1.572,1
asthma,IL-6,469.283,3.604,1
breast_cancer,mTOR,499.393,4.223,0
lung_cancer,PD-L1,552.726,2.83,0
psoriasis,NMDA,511.82,2.781,1
ovarian_cancer,EGFR,352.296,3.864,0
type2_diabetes,GLP-1R,485.731,1.211,0
colorectal_cancer,PD-L1,430.844,2.727,1
asthma,mTOR,525.332,5.148,0
rheumatoid_arthritis,NMDA,387.851,2.752,0
copd,IL-6,502.858,3.234,1
lymphoma,TNF_alpha,473.566,2.353,0
rheumatoid_arthritis,EGFR,579.437,1.802,1
migraine,EGFR,386.64,1.807,0
breast_cancer,NMDA,337.839,2.806,0
migraine,VEGF,416.042,2.497,0
colorectal_cancer,HER2,448.649,1.941,0
schizophrenia,GIPR,327.038,5.184,0
schizophrenia,IL-6,416.534,2.713,0
prostate_cancer,ALK,572.097,3.768,0
obesity,EGFR,543.511,3.986,1
lung_cancer,GLP-1R,478.087,4.376,0
breast_cancer,GABA_A,374.811,1.947,0
schizophrenia,PD-L1,431.052,2.866,1
migraine,GABA_A,415.295,1.17,0
asthma,mTOR,473.453,4.353,1
prostate_cancer,NMDA,506.463,2.993,1
psoriasis,TNF_alpha,506.048,3.123,0
ovarian_cancer,PD-L1,414.518,2.869,1
prostate_cancer,BRAF,523.541,3.746,0
type2_diabetes,IL-6,347.601,2.779,1
migraine,GIPR,389.323,2.021,0
prostate_cancer,D2,416.041,2.963,0
copd,NMDA,327.951,3.552,0
breast_cancer,IL-6,347.19,1.833,0
rheumatoid_arthritis,GABA_A,488.86,5.107,1
copd,SGLT2,290.882,3.03,0
schizophrenia,IL-6,388.228,3.653,1
copd,GIPR,463.688,0.819,1
lung_cancer,GIPR,450.025,2.443,1
asthma,PD-1,322.423,3.629,0
colorectal_cancer,EGFR,506.257,3.324,0
prostate_cancer,PD1,433.183,2.485,0
depression,ALK,381.272,2.275,0
colorectal_cancer,PD-1,421.483,2.571,0
schizophrenia,GABA_A,431.697,3.168,1
breast_cancer,D2,327.32,2.406,0
type2_diabetes,NMDA,491.898,3.606,1
psoriasis,EGFR,429.067,2.959,1
prostate_cancer,GLP-1R,450.645,2.992,0
breast_cancer,D2,418.418,2.887,0
lymphoma,PD-L1,416.619,2.917,0
schizophrenia,IL-6,407.131,2.292,1
depression,PD-L1,316.242,2.527,0
colon_cancer,SGLT2,415.668,2.362,0
prostate_cancer,HER2,510.721,1.888,0
rheumatoid_arthritis,PD-1,423.278,2.224,0
asthma,D2,477.848,2.609,0
colorectal_cancer,BRAF,684.093,1.793,0
colorectal_cancer,TNF_alpha,563.588,3.271,1
type2_diabetes,GLP-1R,518.969,1.792,0
asthma,TNF_alpha,384.171,5.97,1
melanoma,D2,498.854,3.348,0
depression,PD-L1,451.601,3.754,1
schizophrenia,PD1,441.451,4.155,1
migraine,EGFR,420.663,2.653,1
colorectal_cancer,NMDA,480.997,5.185,0
colon_cancer,mTOR,467.486,4.669,1
depression,PD-L1,483.94,2.903,1
asthma,PD-L1,584.074,3.561,1
type2_diabetes,TNF_alpha,438.048,1.481,0
colon_cancer,VEGF,263.126,3.429,0
colorectal_cancer,GIPR,365.175,1.39,0
colorectal_cancer,GABA_A,467.581,1.566,1
depression,5-HT1A,449.087,3.511,0
rheumatoid_arthritis,NMDA,438.332,2.035,1
colorectal_cancer,ALK,601.951,3.05,1
copd,GIPR,493.712,2.641,0
depression,BRAF,483.068,2.672,0
melanoma,ALK,474.751,4.612,1
colon_cancer,D2,477.995,4.284,0
type2_diabetes,IL-6,558.751,1.634,1
ovarian_cancer,mTOR,467.7,1.849,0
depression,PD1,462.855,4.615,1
asthma,GLP-1R,500.597,3.478,1
migraine,ALK,417.995,2.945,0
type2_diabetes,IL-6,439.215,2.934,1
rheumatoid_arthritis,EGFR,490.179,1.378,1
schizophrenia,NMDA,405.669,2.236,0
type2_diabetes,PD-1,323.18,3.356,0
type2_diabetes,GIPR,470.399,4.194,1
colorectal_cancer,ALK,488.294,3.156,0
lymphoma,ALK,582.24,3.829,0
lung_cancer,EGFR,253.165,2.86,0
migraine,GIPR,481.717,3.961,0
copd,mTOR,421.75,3.031,1
lung_cancer,PD-1,423.544,0.972,1
melanoma,EGFR,339.081,2.476,0
psoriasis,BRAF,347.522,1.996,0
melanoma,HER2,490.854,3.939,0
prostate_cancer,GABA_A,460.318,0.636,0
prostate_cancer,SGLT2,428.64,3.869,1
colon_cancer,HER2,578.375,2.618,1
psoriasis,EGFR,440.913,1.553,0
lung_cancer,BRAF,490.171,3.159,0
melanoma,GIPR,341.198,2.787,0
ovarian_cancer,VEGF,448.028,3.538,0
depression,PD1,505.021,3.995,0
copd,NMDA,608.528,4.744,1
psoriasis,PD-L1,333.416,5.04,1
asthma,GLP-1R,445.62,2.904,0
colon_cancer,HER2,631.927,3.94,1
colorectal_cancer,mTOR,345.092,1.138,0
colorectal_cancer,mTOR,474.536,2.985,0
psoriasis,BRAF,414.823,3.146,1
obesity,BRAF,335.357,5.192,1
ovarian_cancer,NMDA,462.514,2.85,1
melanoma,EGFR,310.744,2.601,0
lymphoma,HER2,358.272,4.122,1
asthma,D2,542.807,4.362,1
prostate_cancer,GLP-1R,595.356,3.323,0
prostate_cancer,D2,553.835,3.646,1
colorectal_cancer,GABA_A,391.649,3.72,1
type2_diabetes,IL-6,437.695,3.319,1
schizophrenia,D2,465.193,2.934,0
type2_diabetes,PD-1,227.363,2.913,0
migraine,mTOR,378.363,3.353,0
melanoma,D2,420.496,3.946,0
breast_cancer,GABA_A,400.666,3.023,1
obesity,PD-L1,371.886,3.975,1
depression,PD-1,373.098,3.135,1
prostate_cancer,TNF_alpha,584.612,2.658,1
copd,HER2,322.97,3.84,0
asthma,VEGF,269.462,4.607,0
copd,EGFR,546.727,4.095,0
copd,PD-L1,373.172,1.245,0
melanoma,ALK,412.067,4.71,1
ovarian_cancer,GLP-1R,463.635,3.727,0
psoriasis,SGLT2,590.566,3.775,0
depression,SGLT2,564.527,2.277,1
ovarian_cancer,SGLT2,548.593,3.548,0
type2_diabetes,IL-6,463.06,1.532,0
melanoma,PD1,337.644,3.91,0
type2_diabetes,GLP-1R,437.097,4.372,0
migraine,BRAF,418.856,3.103,0
migraine,PD1,368.807,2.401,0
obesity,BRAF,411.921,3.68,0
colon_cancer,BRAF,472.527,2.818,0
lymphoma,BRAF,372.498,4.79,1
depression,ALK,324.143,1.88,0
colon_cancer,IL-6,319.424,3.72,0
schizophrenia,5-HT1A,356.482,1.188,0
psoriasis,VEGF,391.845,2.392,0
copd,TNF_alpha,581.197,2.497,0
schizophrenia,VEGF,525.301,3.232,1
colorectal_cancer,PD-L1,434.758,3.291,0
asthma,GIPR,555.858,3.735,1
asthma,PD1,468.534,3.072,0
ovarian_cancer,GLP-1R,497.561,0.926,0
type2_diabetes,ALK,516.213,3.844,0
rheumatoid_arthritis,GABA_A,272.615,3.353,0
type2_diabetes,GLP-1R,367.863,3.17,0
depression,BRAF,451.549,3.583,1
ovarian_cancer,EGFR,459.662,2.361,0
type2_diabetes,PD-1,417.178,4.015,1
breast_cancer,PD1,422.123,3.994,0
schizophrenia,PD-L1,578.501,1.86,0
depression,PD-1,397.844,2.9,0
colorectal_cancer,NMDA,409.826,4.485,1
lymphoma,mTOR,444.855,1.787,0
colorectal_cancer,IL-6,501.525,5.427,1
migraine,TNF_alpha,427.713,3.353,0
migraine,HER2,356.179,4.305,0
lung_cancer,5-HT1A,383.434,1.915,0
prostate_cancer,GIPR,424.378,1.794,0
migraine,VEGF,485.589,2.962,0
breast_cancer,SGLT2,458.435,3.58,1
schizophrenia,ALK,331.706,0.77,1
ovarian_cancer,5-HT1A,429.792,3.383,0
rheumatoid_arthritis,NMDA,525.453,2.991,0
migraine,PD-1,555.179,3.96,1
colorectal_cancer,5-HT1A,288.541,4.323,1
ovarian_cancer,GABA_A,568.297,3.72,0
prostate_cancer,PD-1,355.132,3.832,0
asthma,D2,464.542,4.824,1
psoriasis,TNF_alpha,502.311,1.473,0
lung_cancer,BRAF,322.268,3.74,1
type2_diabetes,VEGF,400.481,3.789,0
copd,PD1,551.792,4.048,1
colorectal_cancer,TNF_alpha,374.964,4.599,1
asthma,EGFR,396.294,2.52,1
melanoma,GLP-1R,471.106,3.241,1
schizophrenia,PD-L1,539.22,2.706,0
ovarian_cancer,IL-6,541.718,3.791,0
ovarian_cancer,PD1,427.443,3.107,1
depression,mTOR,491.983,2.122,0
melanoma,D2,447.378,2.236,0
rheumatoid_arthritis,SGLT2,377.656,3.791,0
depression,EGFR,313.713,3.534,0
ovarian_cancer,PD1,412.99,3.455,0
asthma,PD-1,386.122,1.188,0
lung_cancer,D2,548.95,2.456,0
lung_cancer,IL-6,292.079,1.856,0
breast_cancer,EGFR,450.939,3.527,1
prostate_cancer,PD1,421.446,1.862,0
obesity,ALK,438.146,2.113,0
depression,GIPR,420.223,2.311,1
schizophrenia,HER2,536.274,2.002,1
colorectal_cancer,PD1,329.368,2.579,0
schizophrenia,mTOR,310.636,4.075,0
schizophrenia,EGFR,613.546,2.025,1
obesity,PD-L1,460.701,4.062,1
type2_diabetes,PD-L1,465.572,3.376,0
copd,D2,490.808,2.427,0
colorectal_cancer,5-HT1A,622.166,4.786,1
copd,EGFR,599.021,2.371,0
ovarian_cancer,VEGF,333.879,4.037,0
asthma,GLP-1R,589.032,2.025,0
breast_cancer,NMDA,567.608,1.477,1
psoriasis,5-HT1A,446.343,2.561,0
psoriasis,TNF_alpha,614.12,3.625,1
migraine,IL-6,378.165,2.98,0
schizophrenia,BRAF,364.555,2.637,1
psoriasis,GLP-1R,437.753,3.417,0
copd,VEGF,557.253,3.143,1
depression,GLP-1R,455.288,4.678,1
melanoma,D2,454.187,3.894,0
melanoma,GLP-1R,370.587,2.451,0
psoriasis,GIPR,412.825,3.288,1
schizophrenia,D2,505.874,3.46,0
type2_diabetes,GABA_A,603.67,3.048,1
lung_cancer,EGFR,531.594,3.535,1
lymphoma,D2,430.571,3.251,0
copd,PD-L1,439.977,2.578,0
breast_cancer,HER2,494.292,4.104,1
lung_cancer,EGFR,413.89,3.154,0
psoriasis,5-HT1A,567.1,4.314,1
lung_cancer,BRAF,574.671,2.321,1
breast_cancer,PD-L1,623.389,4.101,1
psoriasis,VEGF,458.867,1.574,0
migraine,GLP-1R,324.656,3.151,0
lymphoma,NMDA,301.873,3.819,0
psoriasis,TNF_alpha,423.027,2.868,1
breast_cancer,VEGF,551.668,3.328,0
psoriasis,ALK,446.941,3.924,1
migraine,D2,589.56,2.939,0
melanoma,PD-1,394.485,2.553,0
melanoma,PD-1,376.222,2.975,0
psoriasis,GLP-1R,554.073,3.059,0
obesity,ALK,534.25,2.506,0
depression,ALK,513.047,2.521,0
asthma,ALK,485.036,2.998,1
obesity,GIPR,374.363,2.628,0
migraine,TNF_alpha,498.793,2.856,1
melanoma,D2,674.07,3.491,0
psoriasis,GABA_A,402.028,3.431,1
melanoma,TNF_alpha,350.989,3.656,0
ovarian_cancer,NMDA,513.371,3.252,1
migraine,D2,531.96,1.224,0
colorectal_cancer,5-HT1A,348.783,4.886,0
copd,NMDA,438.324,2.951,0
ovarian_cancer,PD-1,464.832,3.632,0
type2_diabetes,PD-1,423.0,3.562,0
lymphoma,HER2,501.968,1.293,1
lung_cancer,PD-L1,595.782,2.928,0
colon_cancer,D2,403.124,3.509,1
copd,D2,550.52,4.123,1
breast_cancer,GIPR,402.853,3.234,1
lung_cancer,SGLT2,576.323,3.506,0
colorectal_cancer,BRAF,415.43,5.441,1
obesity,IL-6,443.515,0.934,1
schizophrenia,GIPR,380.783,2.232,0
copd,ALK,301.901,2.415,0
copd,GIPR,557.67,3.618,1
psoriasis,mTOR,646.229,4.038,0
melanoma,mTOR,509.765,1.679,1
ovarian_cancer,PD-1,450.069,3.852,1
rheumatoid_arthritis,D2,461.359,4.257,1
psoriasis,BRAF,455.669,3.099,1
schizophrenia,PD1,460.41,1.496,0
type2_diabetes,VEGF,465.134,2.75,0
asthma,GABA_A,485.511,4.221,0
melanoma,EGFR,608.351,2.71,1
migraine,ALK,521.86,2.836,0
breast_cancer,GIPR,391.683,3.01,1
prostate_cancer,TNF_alpha,459.212,1.688,1
type2_diabetes,BRAF,461.456,1.511,0
depression,SGLT2,480.427,4.535,1
type2_diabetes,PD-L1,473.298,3.773,1
prostate_cancer,PD-L1,276.986,3.921,1
melanoma,GIPR,436.343,3.837,0
depression,5-HT1A,356.654,0.985,0
depression,GIPR,150.0,1.886,0
asthma,VEGF,553.5,1.431,1
rheumatoid_arthritis,VEGF,458.001,3.545,0
type2_diabetes,HER2,377.348,2.578,0
migraine,GLP-1R,457.442,3.918,0
migraine,HER2,488.361,3.54,1
colorectal_cancer,GABA_A,444.962,3.483,1
lymphoma,ALK,424.34,3.167,1
lymphoma,IL-6,498.777,3.281,1
breast_cancer,EGFR,434.433,3.034,0
melanoma,EGFR,452.898,2.275,1
melanoma,ALK,460.823,1.553,0
lymphoma,GIPR,452.435,1.95,0
colorectal_cancer,5-HT1A,415.665,3.08,0
ovarian_cancer,PD-1,625.799,4.202,1
obesity,BRAF,544.744,3.257,1
melanoma,EGFR,470.363,1.985,1
psoriasis,IL-6,493.802,3.726,1
obesity,ALK,531.005,3.59,1
asthma,PD-1,363.468,1.498,1
lymphoma,HER2,452.379,3.066,1
depression,HER2,406.487,3.826,1
asthma,mTOR,360.677,2.093,0
colorectal_cancer,PD-L1,569.578,1.641,1
melanoma,mTOR,372.321,2.312,0
lung_cancer,SGLT2,504.599,3.29,0
lymphoma,NMDA,455.591,4.175,1
melanoma,GIPR,438.701,2.143,0
prostate_cancer,EGFR,452.246,1.315,1
rheumatoid_arthritis,GLP-1R,495.22,4.514,1
psoriasis,PD-1,483.337,2.936,1
copd,TNF_alpha,383.728,2.245,0
colon_cancer,TNF_alpha,430.793,3.011,1
depression,SGLT2,530.265,4.266,0
depression,GABA_A,495.899,2.818,1
lung_cancer,TNF_alpha,387.536,2.512,0
depression,IL-6,559.843,1.914,1
asthma,IL-6,405.172,2.825,1
depression,GABA_A,486.417,3.17,0
prostate_cancer,GIPR,448.806,2.419,0
colon_cancer,EGFR,473.703,2.891,1
colon_cancer,PD1,372.204,3.466,0
lymphoma,SGLT2,406.92,4.631,1
prostate_cancer,D2,408.244,2.253,0
type2_diabetes,EGFR,490.79,4.237,1
asthma,D2,436.023,1.754,0
prostate_cancer,PD-L1,495.407,2.636,1
asthma,D2,422.161,0.747,0
asthma,ALK,478.671,2.882,0
copd,GLP-1R,467.395,3.066,1
colon_cancer,HER2,350.422,2.894,0
copd,5-HT1A,560.41,3.559,1
asthma,D2,530.426,3.497,0
obesity,BRAF,323.652,3.204,1
lung_cancer,EGFR,300.956,2.759,1
schizophrenia,SGLT2,479.824,3.168,0
depression,IL-6,349.962,3.729,1
obesity,TNF_alpha,472.596,2.276,1
copd,GLP-1R,483.258,2.867,1
breast_cancer,mTOR,365.876,2.022,0
melanoma,mTOR,653.369,1.49,0
colorectal_cancer,5-HT1A,329.595,1.992,0
breast_cancer,D2,551.541,4.005,0
migraine,D2,495.386,3.994,1
type2_diabetes,PD1,526.161,2.878,1
copd,5-HT1A,286.924,1.944,0
lymphoma,5-HT1A,479.427,3.185,1
lymphoma,PD1,377.057,3.259,0
prostate_cancer,EGFR,471.903,2.463,1
ovarian_cancer,IL-6,370.235,1.943,0
lymphoma,PD-L1,517.793,2.562,1
colorectal_cancer,TNF_alpha,348.677,4.167,1
depression,D2,292.906,2.328,0
lymphoma,D2,551.833,2.937,0
migraine,PD-1,473.307,5.617,1
colon_cancer,NMDA,506.09,2.087,0
colorectal_cancer,PD-1,590.134,4.815,1
colon_cancer,ALK,360.038,3.081,0
copd,GABA_A,451.146,2.495,0
psoriasis,VEGF,510.038,2.947,0
obesity,GABA_A,506.34,3.31,0
psoriasis,EGFR,470.852,4.318,1
migraine,IL-6,417.637,3.97,1
ovarian_cancer,D2,325.724,4.005,0
melanoma,TNF_alpha,405.354,2.588,0
ovarian_cancer,HER2,477.972,3.201,1
colon_cancer,5-HT1A,387.944,3.279,1
copd,EGFR,565.209,3.352,1
obesity,EGFR,466.063,1.324,1
prostate_cancer,SGLT2,471.304,2.403,1
schizophrenia,BRAF,511.324,2.577,1
colorectal_cancer,PD1,383.937,3.759,0
melanoma,EGFR,480.603,4.008,1
colon_cancer,NMDA,459.695,2.797,1
copd,GABA_A,468.514,3.414,1
prostate_cancer,PD-1,507.428,4.351,1
obesity,TNF_alpha,471.92,3.73,1
psoriasis,TNF_alpha,430.982,2.527,1
psoriasis,NMDA,377.909,2.275,0
copd,GLP-1R,486.262,2.502,0
prostate_cancer,PD1,360.346,3.235,0
schizophrenia,mTOR,552.23,2.627,1
schizophrenia,mTOR,494.169,1.684,0
lymphoma,PD-L1,592.512,3.567,1
colon_cancer,PD1,527.211,4.067,1
type2_diabetes,GLP-1R,586.777,4.21,1
colon_cancer,GLP-1R,545.92,3.874,0
ovarian_cancer,5-HT1A,369.556,2.633,0
lung_cancer,5-HT1A,456.65,2.993,0
ovarian_cancer,mTOR,398.49,4.111,1
schizophrenia,EGFR,572.373,3.894,1
colorectal_cancer,ALK,618.469,3.764,1
ovarian_cancer,PD-1,450.903,3.032,1
copd,IL-6,408.026,3.761,1
rheumatoid_arthritis,EGFR,405.032,4.659,1
psoriasis,GLP-1R,501.364,3.505,1
lung_cancer,GLP-1R,403.729,5.135,0
breast_cancer,EGFR,395.492,2.341,0
colorectal_cancer,EGFR,406.999,2.478,1
prostate_cancer,5-HT1A,401.626,0.913,0
psoriasis,PD-1,379.84,2.79,0
breast_cancer,D2,458.363,2.855,0
colon_cancer,TNF_alpha,402.912,4.618,1
depression,5-HT1A,454.417,2.07,0
copd,PD-1,584.875,2.776,1
copd,BRAF,401.414,3.428,1
lymphoma,BRAF,468.767,2.494,0
asthma,PD1,324.381,4.232,0
copd,GABA_A,514.314,3.071,1
schizophrenia,EGFR,559.34,3.313,1
type2_diabetes,IL-6,463.519,2.166,1
schizophrenia,PD1,522.701,3.796,1
obesity,SGLT2,359.89,3.648,0
asthma,IL-6,455.52,2.182,0
colorectal_cancer,EGFR,452.62,1.452,1
breast_cancer,ALK,478.953,1.778,0
depression,VEGF,510.09,1.11,0
depression,5-HT1A,497.888,3.739,1
prostate_cancer,PD1,563.201,2.376,0
rheumatoid_arthritis,mTOR,485.384,1.211,0
melanoma,VEGF,428.156,0.27,1
migraine,GLP-1R,271.733,3.376,0
psoriasis,GABA_A,485.274,0.441,1
melanoma,BRAF,426.525,2.601,0
type2_diabetes,PD-L1,349.993,1.388,1
copd,GIPR,451.765,0.956,0
prostate_cancer,ALK,511.46,2.059,0
lymphoma,PD-L1,557.437,2.769,0
depression,mTOR,462.677,3.995,0
colon_cancer,SGLT2,463.575,3.2,0
schizophrenia,NMDA,417.225,4.556,1
prostate_cancer,PD-L1,486.898,2.485,0
depression,ALK,500.334,1.371,0
ovarian_cancer,PD1,452.627,4.536,1
lung_cancer,HER2,449.128,4.786,1
colorectal_cancer,D2,432.838,3.866,0
colon_cancer,PD-1,450.35,2.505,1
obesity,5-HT1A,314.399,3.367,0
lymphoma,IL-6,523.997,2.086,1
depression,mTOR,522.603,4.09,1
colorectal_cancer,BRAF,420.256,1.375,0
lung_cancer,5-HT1A,593.979,2.451,0
migraine,GIPR,470.482,2.649,0
lung_cancer,ALK,373.059,3.435,0
lymphoma,HER2,328.299,2.262,0
colon_cancer,ALK,491.728,4.152,1
schizophrenia,ALK,451.986,2.984,0
breast_cancer,NMDA,355.864,3.629,0
colon_cancer,IL-6,358.354,3.9,1
asthma,PD-1,424.723,0.78,1
migraine,PD-L1,514.77,2.057,1
type2_diabetes,GIPR,450.437,1.472,0
obesity,PD-L1,497.24,4.311,1
ovarian_cancer,EGFR,393.709,3.742,1
colorectal_cancer,NMDA,414.521,4.368,1
psoriasis,VEGF,570.903,1.687,0
colorectal_cancer,VEGF,510.324,3.723,0
copd,5-HT1A,442.592,1.131,0
prostate_cancer,TNF_alpha,320.55,2.821,0
breast_cancer,IL-6,411.812,2.403,0
depression,EGFR,454.793,3.827,1
rheumatoid_arthritis,BRAF,627.626,3.606,1
colon_cancer,GLP-1R,405.184,2.12,1
lung_cancer,EGFR,433.766,2.945,0
depression,VEGF,480.231,2.803,1
type2_diabetes,VEGF,416.321,3.09,0
obesity,SGLT2,248.062,2.505,0
copd,NMDA,507.467,2.899,0
migraine,PD-1,500.81,3.31,0
psoriasis,ALK,421.208,2.752,0
prostate_cancer,GLP-1R,288.353,3.142,0
lung_cancer,BRAF,376.162,3.094,0
copd,TNF_alpha,503.2,3.041,1
colorectal_cancer,5-HT1A,436.967,2.366,0
copd,IL-6,496.615,1.668,0
colon_cancer,TNF_alpha,634.615,2.256,1
colorectal_cancer,SGLT2,550.302,2.402,0
obesity,GABA_A,260.329,2.469,0
migraine,GABA_A,447.313,2.885,1
colon_cancer,HER2,384.333,3.441,1
ovarian_cancer,PD-1,475.922,3.635,0
colon_cancer,BRAF,417.836,3.745,0
depression,SGLT2,544.726,3.088,1
melanoma,TNF_alpha,458.885,1.264,0
melanoma,SGLT2,411.699,5.439,1
copd,D2,385.753,2.078,0
schizophrenia,ALK,464.688,2.291,0
ovarian_cancer,IL-6,605.487,3.055,0
prostate_cancer,PD1,392.419,2.832,0
copd,SGLT2,485.353,3.17,1
ovarian_cancer,VEGF,509.654,3.071,0
obesity,PD-1,614.121,4.307,1
colon_cancer,PD1,419.473,3.41,0
type2_diabetes,SGLT2,489.913,3.274,1
melanoma,ALK,628.465,3.136,0
breast_cancer,GLP-1R,522.141,2.929,1
asthma,EGFR,474.044,0.764,1
colorectal_cancer,IL-6,461.522,3.018,1
prostate_cancer,GABA_A,523.253,3.67,0
prostate_cancer,BRAF,461.761,4.137,1
lymphoma,PD-L1,430.896,2.121,1
rheumatoid_arthritis,BRAF,437.896,3.257,0
ovarian_cancer,SGLT2,487.473,2.15,1
rheumatoid_arthritis,mTOR,552.428,4.541,1
rheumatoid_arthritis,D2,468.977,2.575,0
colon_cancer,GABA_A,507.479,3.291,1
colorectal_cancer,PD-L1,452.153,3.162,0
psoriasis,GIPR,566.733,2.793,0
prostate_cancer,NMDA,450.71,4.757,1
colon_cancer,NMDA,474.143,2.488,0
obesity,TNF_alpha,516.376,1.722,1
lung_cancer,TNF_alpha,560.595,1.656,0
colorectal_cancer,HER2,398.954,3.695,0
rheumatoid_arthritis,ALK,506.485,3.959,0
copd,TNF_alpha,394.593,4.109,1
copd,GIPR,451.602,1.932,0
obesity,ALK,393.958,2.821,0
prostate_cancer,ALK,331.017,0.906,0
ovarian_cancer,PD1,553.455,2.302,0
schizophrenia,GIPR,381.245,4.417,0
breast_cancer,GIPR,498.543,3.086,0
asthma,PD1,457.391,2.6,1
melanoma,HER2,449.264,3.284,1
depression,BRAF,511.995,5.019,1
copd,BRAF,479.216,3.555,0
melanoma,PD-L1,621.859,2.413,1
colon_cancer,IL-6,422.688,2.97,0
rheumatoid_arthritis,PD1,555.75,2.953,0
type2_diabetes,GIPR,279.455,3.311,0
melanoma,GABA_A,466.627,2.601,0
breast_cancer,BRAF,481.594,1.48,1
psoriasis,NMDA,498.973,2.101,0
migraine,GABA_A,448.461,3.867,0
lung_cancer,PD-1,380.674,3.349,1
psoriasis,TNF_alpha,567.391,5.962,1
schizophrenia,mTOR,399.609,3.348,0
depression,PD1,595.453,3.681,0
ovarian_cancer,PD-L1,335.659,3.825,1
asthma,mTOR,509.272,3.985,0
lung_cancer,BRAF,483.397,3.081,0
copd,NMDA,486.152,3.787,1
obesity,5-HT1A,371.352,1.989,0
copd,SGLT2,405.388,2.821,0
copd,TNF_alpha,470.921,2.669,1
obesity,D2,473.796,3.391,0
psoriasis,HER2,555.204,2.43,1
type2_diabetes,5-HT1A,500.726,3.407,0
rheumatoid_arthritis,EGFR,375.039,1.671,0
rheumatoid_arthritis,D2,358.292,2.227,0
breast_cancer,GIPR,426.168,3.618,0
lung_cancer,PD1,489.865,3.698,1
depression,PD-L1,432.061,2.789,1
lung_cancer,PD-1,416.998,5.381,1
lung_cancer,GIPR,443.203,1.668,0
asthma,PD-1,596.704,2.312,1
ovarian_cancer,5-HT1A,350.531,1.947,0
migraine,IL-6,416.604,3.991,0
type2_diabetes,D2,424.475,2.085,0
schizophrenia,SGLT2,499.514,1.293,0
psoriasis,PD1,422.56,2.227,0
ovarian_cancer,PD-1,376.035,3.272,0
psoriasis,VEGF,539.411,3.502,0
obesity,D2,355.599,3.341,0
depression,SGLT2,547.971,2.617,0
psoriasis,PD-1,406.993,3.825,0
depression,mTOR,553.505,2.225,0
depression,mTOR,301.783,4.759,0
psoriasis,PD-L1,387.371,2.04,0
migraine,PD1,344.576,3.673,0
migraine,D2,443.767,3.944,0
colon_cancer,D2,486.802,3.251,0
colon_cancer,5-HT1A,622.025,1.995,0
psoriasis,D2,334.79,2.796,0
schizophrenia,mTOR,370.827,2.083,0
colorectal_cancer,SGLT2,505.295,1.508,0
type2_diabetes,ALK,631.006,2.495,1
migraine,PD1,501.995,2.447,0
lung_cancer,GLP-1R,392.517,4.832,0
rheumatoid_arthritis,mTOR,375.222,3.71,0
prostate_cancer,D2,559.82,1.731,0
lung_cancer,TNF_alpha,246.474,1.989,0
colorectal_cancer,PD-1,442.036,2.372,1
rheumatoid_arthritis,PD1,507.316,3.427,0
prostate_cancer,5-HT1A,443.729,3.231,1
ovarian_cancer,GLP-1R,434.73,1.341,0
type2_diabetes,IL-6,530.386,2.577,1
melanoma,HER2,379.695,2.921,1
migraine,PD1,595.526,3.468,0
lymphoma,5-HT1A,504.23,3.073,0
psoriasis,ALK,386.996,2.53,0
asthma,5-HT1A,460.699,1.101,0
copd,PD-1,493.492,4.602,1
type2_diabetes,NMDA,444.875,1.278,0
obesity,GABA_A,522.089,2.388,0
psoriasis,GLP-1R,363.509,3.539,0
prostate_cancer,GIPR,472.978,1.021,0
prostate_cancer,ALK,396.547,4.233,1
psoriasis,EGFR,462.845,3.564,0
prostate_cancer,GABA_A,395.223,3.311,1
prostate_cancer,NMDA,258.641,3.347,0
type2_diabetes,GABA_A,513.865,2.764,0
psoriasis,GLP-1R,511.116,2.955,0
colorectal_cancer,EGFR,596.873,1.321,1
type2_diabetes,D2,507.822,3.189,0
prostate_cancer,HER2,405.738,1.768,1
depression,NMDA,496.154,2.652,0
lung_cancer,BRAF,457.445,3.676,1
colon_cancer,5-HT1A,549.645,2.416,0
psoriasis,5-HT1A,439.994,2.46,1
copd,5-HT1A,458.803,4.635,1
colon_cancer,PD-L1,499.942,4.145,1
asthma,EGFR,346.405,4.459,1
rheumatoid_arthritis,PD-1,298.781,4.348,1
depression,GLP-1R,569.355,1.123,0
lymphoma,IL-6,520.209,2.205,1
lung_cancer,mTOR,435.179,2.392,1
lymphoma,PD-L1,387.118,4.135,1
melanoma,ALK,293.593,2.082,0
melanoma,BRAF,487.931,3.411,0
copd,5-HT1A,359.591,2.775,0
